Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Durasinya panjang ampe 3jam, tp lumayan kuliah umum re. Semoga dilembutkan hatinya untuk semua yg hadir di ILC dan kita semua.",UgyKsSAB3NPkK8G1Nel4AaABAg,6,51
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Ketua DPR nya dong di undang.. 😂,UgxxgBVmWLXIF9jHEM14AaABAg,6,7
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Top banget prof Mahpud md,Ugw3irNbR-5vp4U_Aot4AaABAg,0,3
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Pngin jwban dr pak muldoko ats prtnyaan dr bang rizal, g bs jwb kannn...",Ugw_RTSitoxWu4tkGJB4AaABAg,0,1
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Kami rakyat infonesia masalah hukum... kami pasrahkan aja kepada prof mahfud md.. saya yakin masalah hukum di kendalikan prof mahfuf indonesia kedepan semakin maju,Ugx5guIUyo8h_21EQG14AaABAg,0,2
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Pak Karni ga undang RG apanyalinya ciut lagi..😂,UgyW5MQTQVyk2eOr8EJ4AaABAg,0,2
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Nah, yg dungu ayo melek jgn tidur trus atau mnghirup kedunguan dri pemerintahan trus ....jdilah cerdas dan berakal sehat....",UgxjB_-J2amYwJW5uwl4AaABAg,0,1
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"3:02:57 Panutan, mengakui salah dulu, terus diskusi lagi

gk ngotot terus",Ugy__iA9SJ8Yfv_D8f94AaABAg,0,1
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"jgn trllu memaksa kan kehendak rakyat untuk percaya bang ucel
karna sampai skrg kami tidak percaya",UgwNF6Zmzj9knaaK5g14AaABAg,0,14
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Mau ngmng apa pun mana mereka mau membela masyarakat, ma ka di cut gajinya",UgxvC3HPw1vwJclPBR54AaABAg,0,11
